Country,Country_code,Happiness_score,Population,GDP,Unemployment_rate
Lithuania,LTU,5.813,2928000,"95,896,000,000.00",8.10
Luxembourg,LUX,6.871,574000,"35,986,000,000.00",6.00
Latvia,LVA,5.56,2017000,"16,646,000,000.00",9.40
Morocco,MAR,5.151,33827000,"820,542,000,000.00",10.80
Moldova,MDA,5.897,3557000,"12,293,000,000.00",4.40
Madagascar,MDG,3.695,24681000,"8,175,720,000,000.00",2.40
Mexico,MEX,6.778,121984000,"14,822,720,000,000.00",3.80
Macedonia,MKD,5.121,2085000,"411,534,000,000.00",24.40
Mali,MLI,4.073,18478000,"2,102,750,000,000.00",9.70
Malta,MLT,6.488,419000,"6,088,000,000.00",4.80
Myanmar,MMR,4.395,68907000,"61,019,710,000,000.00",0.80
Mongolia,MNE,4.907,627000,"2,775,000,000.00",17.70
Mauritania,MRT,4.201,3989000,"525,817,000,000.00",10.20
Mauritius,MUS,5.648,1322000,"224,049,000,000.00",7.40
Malawi,MWI,4.156,18632000,"862,638,000,000.00",6.70
Malaysia,MYS,6.005,31157000,"912,431,000,000.00",3.40
Namibia,NAM,4.574,2228000,"55,810,000,000.00",22.30
Niger,NER,3.856,18194000,"3,035,290,000,000.00",2.60
Nigeria,NGA,4.875,183636000,"16,472,860,000,000.00",5.50
Nicaragua,NIC,5.992,6340000,"171,657,000,000.00",6.20
Netherlands,NLD,7.339,16915000,"566,199,000,000.00",4.90
Norway,NOR,7.498,5261000,"3,013,120,000,000.00",4.50
Nepal,NPL,4.793,29223000,"793,732,000,000.00",3.20
New Zealand,NZL,7.334,4591000,"164,343,000,000.00",5.20
Pakistan,PAK,5.132,193745000,"10,961,570,000,000.00",5.90
Panama,PAN,6.701,3925000,"33,962,000,000.00",4.70
Peru,PER,5.743,32405000,"295,991,000,000.00",6.80
Philippines,PHL,5.279,103451000,"8,145,890,000,000.00",5.70
Poland,POL,5.835,38536000,"1,474,080,000,000.00",5.10
Portugal,PRT,5.123,10641000,"160,316,000,000.00",9.90
Paraguay,PRY,5.538,7160000,"30,568,260,000,000.00",5.50
"Palestine, Occupied Territories",PSE,4.754,n/a,n/a,26.00
Qatar,QAT,6.375,2557000,"440,806,000,000.00",0.30
Romania,ROU,5.528,21164000,"377,032,000,000.00",5.90
Russia,RUS,5.856,142714000,"46,165,470,000,000.00",5.30
Rwanda,RWA,3.515,11326000,"3,565,830,000,000.00",2.60
Saudi Arabia,SAU,6.379,31861000,"1,438,240,000,000.00",13.30
Sudan,SDN,4.139,37134000,"116,074,000,000.00",n/a
Senegal,SEN,4.219,15406000,"6,306,420,000,000.00",9.50
Singapore,SGP,6.739,5585000,"361,238,000,000.00",2.10
Sierra Leone,SLE,4.635,6439000,"13,184,970,000,000.00",2.80
El Salvador,SLV,6.068,6403000,"10,106,000,000.00",6.90
Serbia,SRB,5.177,7199000,"3,087,610,000,000.00",14.40
South Africa,SSD,4.459,12131000,"33,787,000,000.00",n/a
Suriname,SUR,6.269,563000,"11,762,000,000.00",8.90
Slovakia,SVK,6.078,5430000,"71,492,000,000.00",9.00
Slovenia,SVN,5.768,2069000,"24,139,000,000.00",7.50
Sweden,SWE,7.291,9862000,"3,896,550,000,000.00",7.20
Syria,SYR,3.069,n/a,n/a,14.20
Chad,TCD,3.763,11855000,"6,248,590,000,000.00",5.80
Togo,TGO,3.303,7372000,"1,595,810,000,000.00",6.20
Thailand,THA,6.474,69166000,"5,616,640,000,000.00",1.00
Tajikistan,TJK,4.996,8655000,"236,000,000.00",10.80
Turkmenistan,TKM,5.658,5982000,"56,040,000,000.00",8.60
Trinidad and Tobago,TTO,6.168,1364000,"94,766,000,000.00",4.40
Tunisia,TUN,5.045,11349000,"61,186,000,000.00",14.70
Turkey,TUR,5.389,78967000,"133,830,000,000.00",11.40
Taiwan,TWN,6.379,23547000,"17,134,400,000,000.00",n/a
Tanzania,TZA,3.666,50568000,"25,173,850,000,000.00",2.70
Uganda,UGA,3.739,40592000,"29,453,140,000,000.00",2.30
Ukraine,UKR,4.324,n/a,n/a,9.00
Uruguay,URY,6.545,3427000,"709,917,000,000.00",8.30
United States,USA,7.104,323836000,"17,181,920,000,000.00",4.90
Uzbekistan,UZB,5.987,31343000,"1,092,100,000,000.00",8.70
Venezuela,VEN,6.084,31416000,"61,707,000,000.00",7.30
Vietnam,VNM,5.061,92132000,n/a,2.20
Yemen,YEM,3.724,29132000,"414,779,000,000.00",16.00
Somalia,ZAF,5.44,55161000,"2,160,570,000,000.00",n/a
Zambia,ZMB,4.795,16034000,"26,065,000,000.00",7.40
Zimbabwe,ZWE,4.193,13554000,"13,209,000,000.00",5.30
